sentences,advice,symptoms
我自己想識人，日日一個好難捱,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
我都讀左3個sem都冇朋友，我衰唔主動，個樣好有戒心，搞到冇朋友,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L8
"""父母成日對我分數要求咁高","每人天份都不一樣，同一教材人人理解不同，要求合理定係不合理丶在能力所及的範圍嘗試符合合理的要求吧,最緊要知道自己有冇進步定係停濟不前，慢慢提升水平便可。",T3
我很難記住答案。我認為我的大多數答案都係錯的同埋我d成績會很差。我怕我會做得好差，成績不好。我擔心考試會好難，做錯同埋及爸爸媽媽的反應。我認為我應該比多d心機讀書。,試吓用唔同嘅記憶法幫手 平時可以喺唔同嘅網上平台搵相關嘅影片睇下 輕鬆啲之餘又可以recall返啲記憶 加埋做熟啲pastpaper tutroial問多啲 搵個機會同父母討論下 加深彼此嘅了解同支持 就會有多啲信心,T5
寂寞會係呢條路最大既敵人，成日形單隻影對心理好唔健康，生活冇寄託都好難搵到生存既意義,我明白你嘅感受，其實一個人都可以好開心，過得好好㗎。,L1
唔合格點算！PROFESSOR一定出好難,做多啲 試題熟習 唔明白嘅地方多點複習 搵教授了解清楚喔 就會有多啲信心 可能到時拉curve難倒其他人難唔到你呢,T5
"好似孤兒咁,冇做過孤兒既人想像都唔會想像到個種感受.",你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
因為我唔想同人講 好驚佢地覺得好煩 一到夜晚就好想喊,"俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L5
"腸胃炎自己一個入咗去睇急症
醫生叫留院一晚順便吊鹽水
出院都係自己一個返屋企",我明白你嘅感受，幾辛苦都好，都要撐住，唔好忘記幫自己打氣呀。,L1
父母對我要求好高…可以點算好？,最緊要盡力做好自己 問心無愧 都可以 多啲同屋企人溝通 唔好忘記仲有好多好支持你嘅朋友,T3
好想死 唔想再生存 好想有人可以聽下我講野 同我傾,我知道你而家覺得好辛苦。你可以搵學校或者社區嘅社工，佢哋會細心聆聽。,L2
"""試過好幾次系重要考試前頭痛",咖啡因同休息唔夠都可能會引致頭痛 可以徵詢醫生意見睇下點樣舒緩同避免 如果好嚴重到影響表現就寧願睇醫生再補考,T10
我仲系好緊張，唔知自己今次會考成點,唔知今次考成點而覺得緊張嘅時侯，你會諗啲乜？,T1
但做完之後我考試個陣都會手震,如果嚴重或者持續好耐就最好請教下醫生 避免飲有咖啡因嘅飲品 睡眠充足都可能有幫助架,T10
考試題目唔識寫，點算好?,考試題目唔識寫會令你覺得點？,T4
我對了答案，發現很多題目都答錯了,對答案之後，你有點嘅感受？,T4
"我都係身邊冇咩朋友,想行街 睇戲有人陪都難...",我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
"另一半喺好多興趣觀念都唔同步,有時陪咗會反而孤獨..",我明白你會有呢個感受 試吓同你嘅另一半傾吓 敞開自己 比對方知道你係咩感受,L5
有時遇到唔識嘅題目我就忍唔住會抖脚,遇到唔識嘅題目，你有點嘅感受？,T8
唔開心。一靜落黎就好唔開心,聽到你靜下來嘅時候就感到唔開心，你可以搵學校counsellor傾下㗎！,L1
"好想有一個可以傾心事o既朋友
可能分享一切o既朋友
但打開電話 係一個都冇
就算厚面皮搵xxx
人地都擺明wfc你",聽到你未必可以搵到一個傾心事嘅朋友而感到不快，你可以搵學校嘅counsellor傾下㗎！,L2
好呀！但考試過份緊張有咩方法可以解決？,準備多啲 熟習啲題目會唔會有幫助 都要抽少少時間畀自己放鬆下,T9
雖然系噉，但系我都不免少少緊張同埋擔心,少少緊張同擔心都好正常，不過你會點應對呢啲情緒？,T9
生日永遠冇人記得，每日都冇人約，日日都係自己打機，返學放學都自己一個，覺得自己生活每日如是，人生根本冇意義,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L1
平日都做係一個好活潑開朗既人 但有時真係想幾日都唔同人接觸 比起以前依加會驚同人相處過程中做左無心之失 無形中比左壓力自己 好唔想講錯野做錯野搞到大家都唔開心 寧願自己一個 ,"俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L5
如果今次考衰左會冇咗first hon,咁真係會好大壓力 搵下past paper 畀心機準備好個exam先 其他嘢可以考完再部署嘅,T2
我次次入咗考場都會很緊張,次次入咗試場就緊張，你係點面對？,T9
考試嗰陣時太緊張 心跳得厲害 仲會覺得好熱,考試太緊張，心跳厲害又覺得熱，嗰陣你會點做？,T10
遇到難題目嗰陣，我就忍唔住兩頭望,難嘅題目其他同學都可能會唔識吧,T6
考試嗰陣我胃會好痛  ,考試嘅時侯胃痛，你會點處理？,T10
我覺得我所有答案都寫錯，我成績一定會好差,唔好失望，希望在明天,T1
一想到這次的分數我就擔心的不行,擔心今次嘅分數時，你會有點嘅諗法？,T1
我覺得我好多題都係答錯,覺得自己好多題都答錯，係點解呢？,T4
有心去識但都係無人理,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
"我以前都覺得一 班人 去食, 做咩都有人 陪好D
但發覺, 一 個食享受到個食野感覺, 一 個人 去旅行可以感受到周圍既野多D
你係見到人 地一 對對一 時寂莫O者",聽落你對於獨住嘅睇法有所改變。我想聽下你講改變係點造成嘅。,L3
一緊張我就會東張西望 ,有時環境嘅事物可以幫你聯想到一啲知識同答案 好自然 不過 做多啲past paper 熟習考核內容 到考試就無咁緊張啦,T6
我擔心我屋企人會唔滿意,你擔心嘅係屋企人邊方面嘅唔滿意呢，我想聽你講多啲。,T3
我考試嗰陣會好緊張，四圍望，想考試快d完,考試難免會緊張 正常不過吧 不過做多啲past paper 針對性做熟考核內容 到考試就會有多幾分自信啦,T6
愈大愈難搵真心朋友 原來係真嘅 個個都會睇利益做人嘅 咁好咩?,覺得愈大愈難搵真心朋友，而其他人會睇利益做人，令你有點嘅感覺？,L6
日日返學夜學，放假自己出街食野，做gym睇戲，幾時都係自己,你需要自己一個面對生活既事同挑戰，可能會令你有啲無力，你可以搵學校嘅counsellor傾下㗎！,L1
我教會 是有分小組的，過後 我的小組的全部女生 都一起出去了，但就是沒有約我。已經很多次都是那樣了，我真的很失望。,明白你呢個感受先唔好灰心 或者試吓可以喺新嘅圈子同其他人相處,L7
"孤單好正常,過多十年廿年你會發現唔關地方事,去到邊度都一樣會孤單.",覺得孤單好正常，而且去到邊度都一樣孤單。你係幾時開始咁諗嘅呢？,L3
有個變態老母長期精神金錢壓榨 但對住其他人扮哂nice令身邊的人覺得係我錯 無人明我,明白俾人誤會嘅感覺唔好受。不過，你講嘅精神金錢壓榨，可以舉例講下嗎？,L4
我估我到考試嗰陣會胃痛，我以前都試過系咁 ,考試嘅時候胃痛，你會點處理？,T10
呢一年有努力去試下搵多啲朋友，但係完全跳岀自己個舒服圈都幾辛苦,"明白這感受會令人不舒服;其實可以作出平衡. 留些空間.時間給自己,不用完全跳岀自己個舒服圈      ",L8
考完試之後 我覺得我寫嘅答案可能錯好多,考完試覺得可能錯好多嘅原因係？,T4
我係咪應該一開始分配好作答嘅時間?,如果拎到份卷由頭到尾睇一次 然後有策略咁做容易攞分嘅題目先 控制好每題嘅時間 會唔會容易啲拎到好成績,T7
人到中年真係開始明白咩孤獨 真係已經無晒朋友咁制,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
我唔開心時人哋冇責任要做我嘅負面情緒嘅垃圾桶...,有負面情緒嘅時候唔洗自己捱，可以搵學校/社區嘅社工傾下。,L5
一想到這次的分數我就怕的不行,一諗到今次嘅分數就怕，係咩原因呢？,T1
我成日係考試期間留意房間環境同其他人,考試難免會緊張 正常不過吧 其他同學都可能會唔識 另外做多啲past paper 針對性做熟考核內容 到考試就會有多幾分自信啦,T6
考試個陣心跳跳得厲害，好緊張呀 ,考試嗰陣心跳快又緊張，你會點做？,T10
亦都無人主動邀請你加入佢地圈子，就算有，視你為一份子嘅人亦唔多,無收到其他人邀請加入圈子，或者入到去比較少人視你為一份子，令你有點樣嘅感覺？,L7
一直都禁孤單，冇朋友，唯有喺網上放負，對唔住,孤單的確好難受。你唔需要為網上放負道歉。網友點樣回應你？,L3
放假個陣自己戇鳩鳩係屋企唔知做乜好,聽你咁講，你放假既時候未必搵到其他人陪伴，令你有啲孤單同唔知做咩好，你可以搵學校嘅counsellor傾下㗎！,L1
有text group吹水 間唔時出嚟食飯聚下 但好似爭個人陪我撐陪我行...,我完全明白你身邊有朋友，但係冇人撐住你果種無奈，你可以搵學校嘅counsellor傾下㗎！,L2
我感到緊張，不斷查看時間，想盡早考完,都好common嘅 準備多啲 熟習啲題目 分配好時間答題 表現就會好啲快啲完卷,T9
"比起係大學識一大堆hi bye fd 我更加想識到1,2個可以傾下心事既人 平時唔開心又可以text佢地",試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L6
我經常會在考試時左右張望,考試東張西望，你當時有點嘅感覺？,T6
想搵人講但知道唔可以煩到人 搞搞下就冇哂朋友,其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
好多舊朋友一拍拖個世界只係得返男朋友，就係wts都好少聯絡,唔好咁灰心住，就算依家感情唔係咁好，都唔代表以後都係咁㗎嗎。你可以做啲你喜歡嘅事去排解心情。,L7
我大學就快畢業 想提成積,你意思係，大學就快畢業，所以想提升成績？,T1
我覺得好緊張，想快d離開考場,都好common嘅 準備多啲 熟習啲題目 表現就會好啲快啲完卷,T9
最近轉埋新工咩人都唔識好孤獨,敞開自己 唔好收埋負面情緒 或者都可以主動約下人,L3
又好驚其他科嘅考試會仲難 唉,試下設立唔同嘅階段性目標比自己 視乎目標 分配好每一科嘅時間 逐步去努力達成 或者試下form study group同同學仔一齊努力互補不足 咁就會無咁辛苦架啦 容易嘅科努力考好啲 難嘅科盡力唔考太差 拉分應該都會有滿意嘅GPA嘅,T5
但係如果我嘅分數低就好爛有好成績,有時間同professor同學仔傾傾睇下點樣化解困難吧 揀適合你嘅科 有困難多啲搵教授問問題同form study group 都可能有幫助呢,T2
我在最近的考試中感覺我好多題目都做錯了,最近考試覺得好多都做錯，係點解呢？,T4
"asso兩年中同去外國升學/入八大又好,有hall life上莊入u team打波,每晚睇ig snapchat都好熱鬧,我就自己一個屈係屋企讀書。",明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L7
有時考試好多題，我就想快啲做嗮，驚最後時間唔够,考試題目多嘅時候，你會用咩方法快啲做完佢？,T7
人生來就係孤獨而來，孤獨而去，帶唔走任何野。,可能你覺得人生就係需要孤獨，咁你覺得孤獨係好事定係壞事呀？,L3
以前成日叫春，到而家冇所謂，是旦啦…一個人咪一個人囉…,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
好想試吓有一個真兄弟嘅感覺,你認為有一個真兄弟嘅感覺係點嘅呢？可以講多啲比我聽下嗎？,L8
然後就交卷了，我猜想這次分數很差,你會覺得今次分數差嘅原因係？,T1
"係屋企悶到就生菇，又唔想出街唔夠罩
跟住r fd吹水，但發現冇乜野可以吹，亦都冇乜人想同你吹",成日留喺屋企的確會令人覺得悶。除咗同人傾偈，你係屋企仲有咩野可以做？,L2
住附近都少見左勁多，可能係因為畢咗業已經冇咗利用價值，但明明本身勁fd,聽起來你經歷了一場如地獄般的考驗。或者你可以用少少時間去睇吓你嘅朋友值唔值得信任!,L6
糟糕了，我今天考試很不好,覺得今日考得唔好嘅原因係？,T4
今次考試好難丫，我想活了   ,哦，明白，但係死解唔解決到個問題？,T11
我覺得我呢次考試會fail,盡力 問心無愧就足夠了 繼續努力考好下一科拉分吧。,T1
我考試嗰陣會好緊張，身體會好唔舒服,不適真係會好影響考試表現 如果情況比較嚴重會幾辛苦 有考慮過睇醫生之後再補考,T9
中學俾人蝦過後，畢業後都識唔到人，個人被動又內向咗好多，但一直好想識到真心朋友,聽起來你經歷了一場如地獄般的考驗。或者你可以用少少時間去睇吓你嘅朋友值唔值得信任,L8
我害怕我父母對我的分數有看法,"最緊要盡力做好自己 問心無愧 都可以 試下同屋企人傾下，比佢地了解一下你的水平，就算能力所限而分數一般,家人應該會理解的",T3
係，我仲會玩筆、周圍望其他人做成點,好common喎 好多人考試都會咁 不過如果做熟啲題目會唔會好啲,L4
出嚟做嘢先知，好嘅同事係可遇不可求…,我能夠感受到你喺出嚟工作之後對於同事之間嘅關係有啲迷惘，令你有啲期望落差。,L6
因為我不停抬頭看身邊的同學,不停抬頭望身邊同學，係咩原因呢？,L4
身邊好似好多人嘅大學生活多姿多彩 有自己嘅圈子 自己唔可以話冇，但好少,覺得其他人嘅大學生活似乎多姿多彩，自己嘅圈子就比較少，你有點嘅感覺呢？,L3
有時覺得大學D人其實好假 或者係我唔識同人溝通 毒向左走向右走性格冇得救 表面上同你可能吹到兩三句 但實際上其實唔係真係想同你做FD 其實大學都係社會既縮影,搵啲可以真心交到嘅朋友！唔好灰心！,L6
如果今次考試仲系唔好，我爹地媽咪肯定有會嬲我,爹哋媽咪嬲，令你有點樣嘅感受？,T3
如果今次分數仲系唔好，我媽咪肯定有會嬲我,今次分數唔好，媽咪嬲嘅話，你會有點嘅感受？,T3
有時遇到唔識嘅題目我就忍唔住會抖腿,遇到唔識嘅題目，會令你有點嘅感受？,T8
離考試越近，壓力就越大，溫書嘅時候，筆都攞唔住，手唔停流汗,接近考試，溫書嘅時候手震你會點處理？,T10
覺得冇人係可以依靠嘅感覺，自己又搞唔掂自己…,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L2
一緊張我個胃就痛，冇辦法集中精神做題 ,緊張而胃痛嘅時候，你會點處理？,T10
同埋長時間對住四面牆個種孤獨同無助感 你心理質素或者悲觀負面都好容易會諗埋一邊,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
考試嗰陣，我有時會放空，然後望住某個地方定曬形,考試放空，望住某處定型嘅時侯，係諗緊乜？,T6
雖然我複習咗咁耐，但系感覺複習完就忘曬 ,複習咁耐，然後都係唔記得，令你覺得點？,T5
好想搵人傾偈 但係又怕麻煩人又怕人哋唔想聽,"唔好咁灰心住,你可以試下識多啲人，終有一日您會找到你嘅聆聽者。同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
啊媽話再fail就無得開電腦，宜家唔知點算好,如果冇得開電腦，會對你有點嘅影響？,T3
"真係好悶,諗緊係咪應該去擴闊自己嘅圈子,問題係又要應酬,又嘥時間,仲要同啲唔熟嘅人 build up..",明白你嘅感受試吓搵多啲嘢做充實下自己 唔好俾自己落入寂寞嘅感覺,L8
大學識既人好難r到野傾 除左學業就無咩話題,你可能未必同大學既同學有好多唔同種類嘅話題，這對你嚟講造成咩影響呢？,L5
然後就交卷了，我猜想這次考得很差,猜想今次會考得差，點解呢？,T1
"一個人出門,一個人食飯,一個人搭車返去,每日嘅生活都一樣..",明白你需要自己一個面對生活既事同挑戰，可能會令你有啲無力，你可以搵學校嘅counsellor傾下㗎！,L1
我考試D科目好多野背，我背唔到，唔合格啦,背嘢多嘅相對要計數tricky嘢就冇咁多 比啲心機背熟啲 用唔同嘅記憶法幫手 將學術知識同日常生活連繫 或者用一啲生動有趣嘅聯想 深啲嘅內容就算唔記得都可以靠推論搵番出黎 加埋充足嘅休息都有助記憶 就容易考得好架啦,T5
我覺得我的答案幾乎都是錯的,覺得答案幾乎都是錯，係咩原因呢？,T4
"表面上點FD,個心入面永遠同人保持開距離",可能你未必可以同身邊既人交心，所以有啲距離感，你可以搵學校嘅counsellor傾下㗎！,L6
父母對我要求好高…可以點做？,父母對你要求高，令你有點嘅感受？,T3
例如考緊試果時頭痛點算？,如果醫生都建議 常備藥物應該可以幫你減輕頭痛之類不適,T10
"人越大越孤單,嗰種空虛感好大..","明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
大個咗之後發現，身邊有幾多個朋友已經唔重要，因為一個都冇…,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
我都係bba呀 無參加ocamp 每一堂就唯有yo吓d hi bye frd 感覺好空虛,空虛嘅感覺的確唔好受。你覺得點樣為之hi bye friend呢？,L6
"不過我說話技巧唔得
我內心陰暗 外在冇野
都係冇朋友",內心陰暗，係指啲乜嘢呢？可以講多啲俾我聽嗎？,L3
搬左出黎自己一個住，好孤獨 雖然大部分時間都獨立獨行，但係有時都會覺得sad,唔好咁灰心，一個人都可以過得好開心㗎。你可以學習感恩同知足，人都開心啲！,L1
入便有D題目我都睇唔明，都系亂答嘅,題目睇唔明，亂答令你有點嘅感受？,T4
糟糕了，我今天考試好糟,明白你嘅擔憂。不過，點解覺得考試好糟呢？,T4
如果今次考試fail咗，我實要重考，仲要再補習好耐,咁都無辦法既，下次再努力啲咪會pass 囉！,T2
然後就是父母對我的分數都不滿意,父母對你分數唔滿意，你有點嘅感受？,T3
所以我好擔心我嘅答案係唔正確嘅,好擔心自己答案正唔正確，令你覺得點？,T4
而我考得差的話，我媽媽和爸爸會好失望,屋企人失望，會令你有點既感受？,T3
如果今次考得吾好 個grade就會吾好 甘就會搵吾到好工 甘就吾會有好ge一生,睇黎今次考試對你黎講好重要。你而家嘅感受係？,T1
今天考試很難，我答不出就不停玩筆,考試難，答唔出嘅時侯你感覺係點？,T8
聽日就考試了，我好緊張呀，緊張到瞓唔著,聽日要考試，你覺得緊張同埋瞓唔著嘅時候，有點樣嘅諗法？,T9
我這次沒pass怎麼辦,畀心機準備好個exam先 或者搵朋友／教授幫下手搞清楚啲concept 商量一下 佢地好warm好願意幫你架,T2
一想到這次的考試結果我就怕的不行,試都考完啦，失手咗都救唔返啦，不如約D朋友出尼玩下轉換心情，考試結果就等成績公佈先再唸,T1
中學frd對我最重要，但我做唔到佢地最重要果個,我完全明白你對於中學朋友十分重視，但佢地卻對你唔重視嘅失落。你可以搵學校嘅counsellor傾下㗎！,L3
或者望望人哋點答題  ,望人哋點答題嘅時侯，你嘅感受係？,L4
Exam到連個胃都痛 ,Exam胃痛，你會點處理？,T10
有啲計數嘢唔識但都唔知點好,"數真係好難 最緊要操練多啲 識做最基本啲搶分題目 或者多啲問tutor,開studay group一齊溫 咁就唔會考得太差架啦",T5
因為我溫書記不住考點 ,溫書記不住考點，令你覺得點樣？,T5
我會手震，支筆都揸唔住,如果嚴重就最好請教下醫生 畢竟咁樣勉強效率都會好差 身體健康緊要,T10
我緊張呀 咁就會導致手震,緊張都係難免嘅 你有無減壓嘅方法分享下,T10
我覺得我應該要更加勤力溫書,嗯 嚟緊及早計劃 早啲開始溫 設立啲目標去提升動力 分配好時間 一定會考得更加好,T5
"你害怕一個人嗎?當你越感到孤獨,你越需要學習獨處.",我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
我在房間裡東張西望  ,房裡面東張西望，係喺咩情況下呢？,T6
"喺外國留學,覺得好孤單..",身在異鄉覺得孤單，一定唔好受。可以講多啲自己嘅經歷俾我聽下嗎？,L3
緊張到個心好似跳得厲害咁 ,緊張到心跳厲害，令你覺得點？,T10
孤獨的感覺雖然也很重。算啦不知道,明白你可能未必能夠承受孤獨嘅重量，你可以搵學校嘅counsellor傾下㗎！,L3
我條路從來都係一個人行,條路一直只有自己行，咁樣令你有乜嘢感受？,L1
除左拍隻腳我仲會不自覺咁轉筆…,但係咁會唔會令你容易分心 有無試過點樣可以提升考試嘅表現 例如做多啲題目熟習考試嘅範圍咁,T8
生活又係返工放工，又唔係話同所有人都無接觸，但就係好孤獨好寂寞,明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去同自己朋友互動一下,L3
見到d人講同朋友去旅行好羨慕，我都冇朋友會去，佢地身邊都有更fd既朋友，我唔係首選...無知己,好羨慕朋友一齊去旅行，但係就覺得自己唔係佢哋嘅知己，或者旅伴首選。呢件事令你有點樣嘅感覺？,L3
雖然考試前我溫習咗好耐，但系我覺得一考試我就頭腦空白,溫習咗好耐，一考試都係唔記得，令你有點嘅感受？,T5
我覺得我呢次分數肯定唔合格,覺得今次會唔合格，係點解呢？,T1
想分享喜怒哀樂但冇人可以分享，一個人上堂食飯真係好孤單…,你希望有朋友同你分享喜怒哀樂，一齊食飯上堂，有諗過可以點識到佢哋嗎？,L2
但又要更落力溫書唔係第二科又考得差,咁要加緊努力收復失地喔,T5
覺得佢地好close形成晒一個個圈子，自己好似被排斥在外咁,唔好咁灰心住，你可以試下將你嘅想法寫低，咁樣可以減少孤獨感。,L7
"中學同學大家仲會搵d大時大節，生日出黎見下

大學果班，真係情願留係屋企hea都唔想出黎見
話不投機半句多

Grad左幾年，而家睇番大學時有堆人係度傳是非、小圈子，真係浪費時間。以往係度上莊、撩是鬥非、住hall果班人，grad左無耐都散晒

利申：無參與過以上既野",覺得中學嘅時侯會同同學一齊過節日過生日，而大學嘅同學好難熟絡。喺大學似乎有啲唔太好嘅經歷，導致你冇咁信任其他同學。,L6
"有咩事就我撲出去搵你傾
我唔開心好似真係無人會理咁",明白呢個感受會令人唔開心，試吓對人敞開自己,L2
我驚今次唔合格仲要再考一次,明白你嘅擔憂。再考一次會令你有點嘅感受？,T2
我成日都分左心，做卷個陣周圍望又轉筆,緊張好平常嘅 但有冇其他辦法可以加強你嘅記憶同臨場表現 例如畫概念圖嗰啲 或者有無試過做多啲題目熟悉考試內容,T8
屋企有好多野煩 我唔知點算 誰能明瞭,我明白你嘅感受，幾辛苦都好，都要撐住，唔好忘記幫自己打氣呀。,L4
係呀同埋我考試個陣個肚都會唔舒服,經常都係咁？ 會唔會同緊張或者飲食作息有關係 有冇睇過醫生,T10
我考試又冇温書 入到試場咪東張西望,做多啲past paper啦 針對性做熟考核內容 到考試就無咁緊張啦,T6
自問外表正正常常，性格都冇咩問題，但係就識唔到男朋友。返工個陣正常情緒，但一到夜晚就覺得好寂寞好想有人陪。放工假日就唔知去邊好，唔係話冇朋友，不過就唔多。,我明白你嘅感受，其實一個人都可以好開心㗎。有冇諗過每⽇做運動呢？運動可以改善情緒同減壓，做完運動人都精神啲！,L1
好似groupmate靜係講proj野 之後其他就唔識搵話題好易dead air 又唔想下下應人 下真係架 未聽過wor咩黎架 咁樣好尷尬,我明白你嘅感受，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
我望向其他考生，又檢查剩餘時間,咁樣會唔會令你容易啲分配做題目嘅時間,T7
系阿，所以我答題嘅時候，嗰心跳得特別厲害 ,答題嘅時侯心跳快，令你有點嘅感受？,T10
hi-bye fd居多 project組員present完就冇晒contact 冇上莊冇住hall 想識多D人 但係份人好被動同唔知有咩途徑,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈，識多D人。,L8
日日返學夜學，放假自己出街食野，做gym睇戲，幾時都係自己:-(,唔好咁灰心，你可以學習感恩同知足，人都開心啲！,L1
"唔係冇朋友,但當你傾訴完,發覺其實都冇咩人真係明白你,最後都變到咩都唔想講,喺人面前仍然係開開心心就算...",同朋友傾訴完都覺得佢哋唔理解你， 點解呢？可以講多啲嚟聽下嗎？,L4
我可以點樣舒緩緊張同不安情緒？,搵啲時間做自己想做嘅事 多啲同信得過嘅人分享溝通 佢哋好樂意聆聽同分擔架,T9
今日岩岩考完…好似考得唔高咁…,覺得好似考得唔高，係點解呢？,T1
而我成績不好的話，我媽媽和爸爸會好失望,明白你嘅擔憂。屋企人失望會令你有點嘅感覺？,T3
我會好焦慮，我如果唔合格，父母會講d咩,"先冷靜下來,列出所有表現差的地方,然後小小地一步步温返唔熟嘅課題。",T3
因為如果模擬考考得唔好，我就覺得我最尾嘅考試應該成績都會好爛,睇黎今次模擬試對你黎講好重要。你而家嘅感受係？,T1
 但一入到試場就會擔心但一入到試場就會焦慮,一入到試場就焦慮，你嗰陣有點嘅諗法？,T9
"""明明都已經好努力溫習",好多course範圍都好闊 最緊要溫熟最重要同基礎嘅部份 熟習好pastpaper 平時accessment做好啲 充足準備有啲信心 咁要達到理想既成績就唔會好難架啦,T5
"可能真係要放下,自己都識一班新朋友,免得自己係孤立狀態..",識新朋友當然係一件好事。不過，你想放下嘅係咩事？,L8
壓力大嘅時候，我個頭就唔舒服  ,壓力大頭唔舒服，的確辛苦。你點樣解決？,T10
"好辛苦,自己冇咩朋友,同男朋友拍拖後幾乎斷曬男性朋友..",我明白你嘅感受，你可以試下用唔同嘅方法同屋企人多啲聯繫，相信佢地都會關心你。,L3
我覺得我做得好差，分數應該得好低分,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
有時遇到唔識嘅題目我就忍唔住會踏脚  ,遇到唔識嘅題目，令你有點嘅感覺？,T8
同事同我講，打下機慢慢學習社交能力，日日係屋企睇書唔係辨法。我都有嘗試過做運動，但個人攰完諗嘢會變得仲灰。。,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
有時其實冇咁嚴重嘅時候，就手脚冰涼，但系身體其位就發熱，唔知系咪因為壓力大定系緊張 ,手腳冰涼但係其他部分熱嘅時侯，你嘅感受係點樣？,T9
工作太忙完全無社交圈子，真係幾年都識唔到朋友,工作忙所以無時間識朋友，呢件事令你有點樣嘅感受呢？,L8
考試既時候我會心跳得好快，頭好痛,不適肯定好影響你嘅表現 嚴重嘅去睇醫生再申請補考可能會好啲 都可以搵醫生傾傾睇下藥物之類會唔會有幫助舒緩,T10
覺得自己與身邊的人毫不合拍 世界上或許沒有一個懂我的人,我能夠感受到你因為你同身邊嘅人唔合拍而認為冇人理解自己，感到無力，你可以搵學校counsellor傾下㗎！,L4
人愈大，愈容易將D感受收收埋埋，有時都唔想／唔知點樣俾人明白自己,我明嘅，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
我讀緊好多科，成績又唔係好突出，唔夠時間做晒所有嘢，但係又好想要咩令到成績好啲，所以壓力好大,試下同身邊科目相近的朋友from D study group，咁樣比起一個人温書效率高D時間用少D，應該可以解決到你嘅問題,T1
出嚟做嘢仲可以喺邊度識朋友…唔敢同同事講太多私人嘢…,我能夠感受到你唔知道出嚟做嘢之後可以係邊度認識朋友，亦唔敢同同事有好多深入嘅交流。就住這個問題，你有冇咩解決方法呀？,L5
我考試嗰陣就望住周圍人 ,但係其他同學都未必識做架喎,L4
我都不敢想fail了要怎麼辦,睇黎pass對你黎講好重要。你而家嘅感受係？,T2
次次眼見人地一堆堆去挽都好羨慕，我都係想要朋友姐,聽你咁講，你似乎因為自己沒有太多朋友，而好羨慕其他人可以一班朋友一齊出去玩，是嗎？,L8
我真後悔沒有用心復習，考試時又走神,後悔無用心復習同埋考試走神，的確係難受。,T5
如果成績差，我驚我媽咪鬧我,媽咪鬧你，會令你有點嘅感受？,T3
我覺得呢次考試自己發揮得不好,呢次考試發揮得唔好，會咁覺得嘅原因係？,T4
我下次考試應該再用心啲,嗯 嚟緊及早計劃 早啲開始溫 分配好時間 一定會考得更加好,T5
